pais,marca,modelo,firmware,mac_cm,cm_ip,cliente,virtual,velocidad,capa,seguridad,srvstat,srvrealstat
GT,Thomson,DWG855,ST80.30.06,001e69920bbe,10.165.80.70,250852,1160804,7M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69920be1,10.157.124.174,257372,1151516,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69920c4a,10.132.97.8,258113,1131045,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69920c58,10.159.81.119,216600,216600,10M,Layer3,,0,0
GT,Thomson,DWG855,ST80.30.06,001e69920d23,10.162.85.112,257805,1131037,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69920d3f,10.131.123.74,259790,1141190,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69920d85,10.147.71.196,257440,1151532,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69920fed,10.157.80.108,473277,1150146,10M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921079,10.161.100.55,256010,1120376,2M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921113,10.131.93.132,255739,1141108,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921136,10.159.89.16,256107,1141127,3M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,001e6992116e,10.135.113.33,338195,1154250,3M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,001e699211c2,10.159.104.113,256005,1141123,20M_5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921af9,10.147.73.249,254736,1150381,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921b07,10.157.65.49,256109,256109,OnlyVoice,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921b3f,10.139.103.96,252535,1170994,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921b4d,10.139.90.4,253656,1170980,20M_5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921b85,10.158.89.236,252916,1110002,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921ba8,10.158.101.132,253366,1110699,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921bc4,10.164.87.82,363629,1176095,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921be7,10.135.96.168,1534138,1159627,512K,Layer3,WPA,0,0
GT,Thomson,DWG855,ST80.30.06,001e69921c34,10.162.110.199,1520663,1132486,3M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69921c3b,10.157.92.174,255655,1151355,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69922ac0,10.131.76.180,257621,1141193,15M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69922c3a,10.158.97.233,257619,1110890,5M,Layer2,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69922ebe,10.159.104.156,257886,1141222,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69922fcf,10.135.109.227,232322,232322,4M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69922fd6,10.161.118.84,257671,1120416,20M_5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e6992303f,10.147.76.83,223727,223727,5M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923070,10.135.70.125,257471,1151529,7M,Layer3,WPA,1,1
